id,name,url_key,description,image,parent_id
150,"Vacuum tubes",vacuum-tubes,,https://fusion.gspen.co.uk/media/catalog/category/263-223.jpg,12
151,"Upholstery & Furniture Tools",upholstery-and-furniture-tools,,https://fusion.gspen.co.uk/media/catalog/category/263-617-1.jpg,12
152,"Ball Valves",ball-valve,,https://fusion.gspen.co.uk/media/catalog/category/lever_handle_3_1.jpg,81
153,"Hozelock Tricoflex YELLOW PLASTIC HOSE",hozelock-tricoflex-yellow-plastic-hose,,https://fusion.gspen.co.uk/media/catalog/category/trico.jpg,671
154,"Other High Pressure Guns",other-high-pressure-guns,,https://fusion.gspen.co.uk/media/catalog/category/50052201_2.jpg,2901
155,"Twin Lances",twin-lances,,https://fusion.gspen.co.uk/media/catalog/category/200-054-600_3.jpg,2902
156,Electrodes,electrodes,,https://fusion.gspen.co.uk/media/catalog/category/electrodes.jpg,11
157,"Danfoss Fuel Pumps & Accessories",danfoss-fuel-pumps-accessories,,https://fusion.gspen.co.uk/media/catalog/category/825-45.jpg,1436
158,Tools,tools,,https://fusion.gspen.co.uk/media/catalog/category/circlip_pliers_90_degree_1_1.jpg,13
159,"Bonded Dowty Seals",bonded-dowty-seals,,https://fusion.gspen.co.uk/media/catalog/category/img_0191_3.jpg,13
160,"Cable Ties",cable-ties,,https://fusion.gspen.co.uk/media/catalog/category/cable_ties_1.jpg,13
161,"Floats & Valves",floats-valves,,https://fusion.gspen.co.uk/media/catalog/category/200-008-520_5.jpg,81
163,Mosmatic,mosmatic,,https://fusion.gspen.co.uk/media/catalog/category/108-780-35_2.jpg,55
164,"High Pressure Telescopic Lances",high-pressure-telescopic-lances,,https://fusion.gspen.co.uk/media/catalog/category/525-070-6_1.jpg,2902
166,Female-Female,female-female,,https://fusion.gspen.co.uk/media/catalog/category/gs024_8_1_1_3.jpg,45
167,Male-Male,male-male,,https://fusion.gspen.co.uk/media/catalog/category/570-99.jpg,45
168,"0º Nozzles",0-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_0_1.jpg,52
169,"5º Nozzles",5-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_5_1.jpg,52
170,"25º Nozzles",25-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle.jpg,52
171,"40º Nozzles",40-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_40_1.jpg,52
172,"65º Nozzles",65-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_65_2.jpg,52
173,"Clearance Nozzles",clearance-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/clearance_nozzles.jpg,7
174,"1/4"" Female WEG Nozzles ",1-4-f-spraying-systems-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/weg.jpg,1409
179,"1/8"" Male Nozzles ",1-8-male-nozzles-by-spraying-systems,,https://fusion.gspen.co.uk/media/catalog/category/eighth_meg.jpg,1409
180,"0º Nozzles",0-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_0_4.jpg,179
181,"15º Nozzles",15-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_15_4.jpg,179
182,"25º Nozzles",25-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_2.jpg,179
183,"40º Nozzles",40-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_40_3.jpg,179
184,"65º Nozzles",65-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_65_4.jpg,179
186,"Tip Nozzles ",tip-nozzles-by-spraying-systems,,https://fusion.gspen.co.uk/media/catalog/category/tip.jpg,1409
187,"0º Nozzles",0-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/ss_0.jpg,186
188,"15º Nozzles",15-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/ss_15.jpg,186
189,"25º Nozzles",25-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/ss_25.jpg,186
190,"40º Nozzles",40-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/ss_40.jpg,186
191,"65º Nozzles",65-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/ss_65.jpg,186
192,"0º Nozzles",0-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_0.jpg,144
193,"15º Nozzles",15-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles.jpg,144
194,"25º Nozzles",25-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_25.jpg,144
195,"40º Nozzles",40-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_40.jpg,144
196,"65º Nozzles",65-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_65.jpg,144
197,"1/8"" male Nozzles",1-8-male-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/eighth_lechlrr.jpg,1414
200,"Tip Nozzles ",tip-nozzles-by-lechler,,https://fusion.gspen.co.uk/media/catalog/category/tip_lechler.jpg,1414
201,"0º Nozzles",0-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_0_1.jpg,200
202,"15º Nozzles",15-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_2.jpg,200
203,"25º Nozzles",25-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_25_1.jpg,200
204,"40º Nozzles",40-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_40_1.jpg,200
205,"65º Nozzles",65-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Lechler_nozzles_65_1.jpg,200
208,"Quick Release Nozzles",quick-release-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/613-208.jpg,7
209,"0º Nozzles (RED)",0-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_13.jpg,208
210,"15º Nozzles (YELLOW)",15-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_2_4.jpg,208
211,"25º Nozzles (GREEN)",25-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_3_3.jpg,208
212,"40º Nozzles (WHITE)",40-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_4_1.jpg,208
213,"65º Nozzles (BLACK)",65-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_6_4.jpg,208
214,"Complete Sets",complete-sets,,https://fusion.gspen.co.uk/media/catalog/category/qr_nozzles_2.jpg,208
215,Couplings,couplings,,https://fusion.gspen.co.uk/media/catalog/category/tpqnc.1_1.jpg,208
216,"Triple Nozzles",triple-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/657-651-0.jpg,54
217,"Vario Nozzles",vario-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/658-103-0.jpg,54
218,"Sandblast Kits",sandblast-kits,,https://fusion.gspen.co.uk/media/catalog/category/200-555-405_1_2.jpg,10
219,"Water & Mud suckers",water-and-mud-suckers,,https://fusion.gspen.co.uk/media/catalog/category/545-504-0_1.jpg,7
220,"ERIE Brushes & Poles",erie-brushes-and-poles,,https://fusion.gspen.co.uk/media/catalog/category/erie.jpg,53
222,"Brush Heads",brush-heads,,https://fusion.gspen.co.uk/media/catalog/category/other_brushes_and_poles.jpg,53
223,"Rotating Brushes",rotating-brushes,,https://fusion.gspen.co.uk/media/catalog/category/522-70.jpg,53
224,"Domestic Surface Cleaners",domestic,,https://fusion.gspen.co.uk/media/catalog/category/domestic_surface_cleaner.jpg,55
226,Industrial,stainless-bodied,,https://fusion.gspen.co.uk/media/catalog/category/stainless_steel_surface_cleaner.jpg,55
227,"1/8""F Non Rotating",1-8-f-non-rotating,,https://fusion.gspen.co.uk/media/catalog/category/650-05_-_Copy_2.jpg,1478
228,"1/8""F Rotating",1-8-f-rotating,,https://fusion.gspen.co.uk/media/catalog/category/200-049-820.jpg,1478
229,"1/4"" F Non Rotating",1-4-non-rotating,,https://fusion.gspen.co.uk/media/catalog/category/651-84_2.jpg,1479
230,"1/4"" F Rotating",1-4-f-rotating,,https://fusion.gspen.co.uk/media/catalog/category/200-049-820_2.jpg,1479
231,"3/8""F Non Rotating",3-8-f-non-rotating,,https://fusion.gspen.co.uk/media/catalog/category/651-84_1.jpg,1480
232,"3/8""F Rotating",3-8-f-rotating,,https://fusion.gspen.co.uk/media/catalog/category/200-049-820_3.jpg,1480
236,"1/2""F Nozzles",1-2-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/652-200-01.jpg,1481
237,"3/4"" Sewer Nozzles",3-4-sewer-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/652-100-01_1.jpg,145
238,"1"" Sewer Nozzles",1-sewer-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/652-200-01_1.jpg,145
239,"ST357 TURBO NOZZLES, 100 to 250 bar",st357-100-250bar,,https://fusion.gspen.co.uk/media/catalog/category/ST357.jpg,24
240,"ST357 Repair Kits",st357-repair-kits,,https://fusion.gspen.co.uk/media/catalog/category/200-357-130.jpg,239
243,"ST458 TURBO NOZZLES 200 to 400 bar",st458-200-400bar,,https://fusion.gspen.co.uk/media/catalog/category/ST458.jpg,24
244,"ST458 Repair Kits",st458-repair-kits,,https://fusion.gspen.co.uk/media/catalog/category/200-458-311.jpg,243
245,"ST558 TURBO NOZZLES 300 TO 500 bar",st558-300-500bar,,https://fusion.gspen.co.uk/media/catalog/category/200-558-530_1.jpg,24
246,"ST558 Repair Kits",st558-repair-kits,,https://fusion.gspen.co.uk/media/catalog/category/200-558-130.jpg,245
247,"HM500 TURBO NOZZLE 500 Bar",uhp-500bar-nozzle-repair-kits,,https://fusion.gspen.co.uk/media/catalog/category/HM500.jpg,24
248,"HM700 TURBO NOZZLE 700 Bar",uhp-700bar-nozzle-repair-kits,,https://fusion.gspen.co.uk/media/catalog/category/HM700.jpg,24
249,"HM1000 TURBO NOZZLE 1000 Bar",uhp-1000bar-nozzle-repair-kits,,https://fusion.gspen.co.uk/media/catalog/category/HM1000_1.jpg,24
250,"Hobby TURBO Nozzles",hobby-turbo-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/653-325_2.jpg,24
251,"Low Pressure Nozzles & miscellaneous Items",misc,,https://fusion.gspen.co.uk/media/catalog/category/other_nozzles_misc.jpg,54
252,"15º Nozzles",15-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/angle_15_1.jpg,52
253,"Vikan Brushes & Poles",vikan-brushes-and-poles,,https://fusion.gspen.co.uk/media/catalog/category/527-001-104.jpg,53
254,"PVC Outer, 160 bar, 60ºc",polya-160bar-60-c,,https://fusion.gspen.co.uk/media/catalog/category/390-010-210_1.jpg,120
260,"Flexy 300 bar, 100ºc",flexy-300bar-100-c,,https://fusion.gspen.co.uk/media/catalog/category/350-156-3100_6_1_45.jpg,120
266,"1 Wire 210 bar, 150ºc",1-wire-210-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/340-100-410.jpg,120
267,"Black, With Wrapped Cover",black-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/338-000-310-9_2_.jpg,266
271,"Blue, With Wrapped Cover",blue-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/331-152-604_1.jpg,266
275,"Grey, With Wrapped cover",grey-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/332-100-510-7_1.jpg,266
279,"2 Wire 400 bar, 150ºC",2-wire-400-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/331-156-610_5.jpg,120
284,"1 Wire, 210 bar, 150°C",1-wire-210-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/338-000-310-9_3_1.jpg,113
285,"Black, With Wrapped Cover",black-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/338-000-310-9_3_4.jpg,284
289,"Blue, With Wrapped Cover",blue-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/331-100-610_3.jpg,284
293,"Grey, With Wrapped cover",grey-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/332-100-510_3.jpg,284
297,"1 wire,  315 bar, 150°C",1-wire-315-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/390-000-321-0_6.jpg,113
298,"Black, With Smooth Cover",black-with-smooth-cover,,https://fusion.gspen.co.uk/media/catalog/category/390-000-321-0_6_4.jpg,297
302,"Red, With Wrapped Cover",red-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/344-100-710.jpg,297
306,"2 Wire,  400 bar, 150°C",2-wire-400-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/350-156-3100_6_1.jpg,113
307,"Black, With Wrapped Cover",black-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/350-156-3100_6_1_9.jpg,306
311,"Blue, With Wrapped Cover",blue-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/331-154-615_8_4.jpg,306
315,"Grey, with Wrapped Cover",grey-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/332-100-510_3_4.jpg,306
319,"Yellow, With Wrapped Cover",yellow-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/359-100-41000_6.jpg,306
323,"1 Wire, 210 bar, 150°C ",1-wire-210-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/350-156-3100_6_1_17.jpg,122
324,"Black, With Wrapped Cover",black-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/350-156-3100_6_1_19.jpg,323
328,"Blue, With Wrapped Cover",blue-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/331-154-615_8_8.jpg,323
332,"Grey, With Wrapped Cover",grey-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/332-100-510_3_9.jpg,323
336,"2 Wire, 400 bar, 150°C ",2-wire-400-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/350-156-3100_6_1_18.jpg,122
337,"Black, With Wrapped Cover",black-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/338-000-310-9_3_12.jpg,336
341,"Blue, With Wrapped Cover",blue-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/331-100-610_3_9.jpg,336
345,"Grey, With Wrapped Cover",grey-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/332-100-510_3_11.jpg,336
353,"2 Wire, 500 bar, 150ºC",2-wire-500-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/338-000-310-9_3_8.jpg,122
354,"Black, With Wrapped Cover",black-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/338-000-310-9_3_13.jpg,353
359,"Red, With Wrapped Cover",red-with-wrapped-cover,,https://fusion.gspen.co.uk/media/catalog/category/344-100-710_7.jpg,353
364,"2 Wire, 600 bar, 150ºC",2-wire-600-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/368-697-106_1__1.jpg,122
369,"1 Wire, 180 Bar, 150°C",1-wire-180-bar-150-c,,https://fusion.gspen.co.uk/media/catalog/category/338-000-310-9_3_14.jpg,119
390,"Carwash Comfort: SELF SERVICE CAR WASH HOSE",carwash-comfort-self-service-car-wash-hose,,https://fusion.gspen.co.uk/media/catalog/category/463-044-603-50_2_1.jpg,9
391,"Blue DN6",blue-dn6,,https://fusion.gspen.co.uk/media/catalog/category/461-052-303-50_5.jpg,390
392,Red,red,,https://fusion.gspen.co.uk/media/catalog/category/463-044-603-50_2.jpg,390
